#RESOURCE=yCat_35210055
#Name: J/A+A/521/A55
#Title: The mass function of nearby black holes (Caramete+, 2010)
#Coosys G: galactic     
#Table J_A_A_521_A55_bh:
#Name: J/A+A/521/A55/bh
#Title: Catalog of the massive black hole used to construct the mass function
#---Details of Columns:
#    z             (F8.5)  [0/0.025] Redshift [ucd=src.redshift]
#    Mbh (MMsun)   (F8.3)  Black hole mass [ucd=phys.mass]
#    e_Mbh (MMsun) (F8.3)  Error on black hole mass [ucd=stat.error]
#-------- -------- --------
#         Mbh      e_Mbh   
#z        (MMsun)  (MMsun) 
#-------- -------- --------
 0.01923  499.356  249.678
 0.02112  202.869  101.435
 0.02190  242.144  121.072
 0.01538  150.081   75.041
 0.02457  226.825  113.413
 0.00744  313.593  156.797
 0.01623  274.358  137.179
 0.01793  264.634  132.317
 0.00625  112.182   56.091
 0.01634  717.757  358.878
 0.01017  235.599  117.799
 0.01253   76.248   38.124
 0.01795  149.509   74.755
 0.01925  246.973  123.486
 0.01830  153.898   76.949
 0.01891  271.212  135.606
 0.00838   76.747   38.373
 0.01842  353.271  176.636
 0.01962  156.887   78.443
 0.01926  206.967  103.483
 0.01146  231.544  115.772
 0.02351  182.812   91.406
 0.01036   39.492   19.746
 0.00643   23.809   11.904
 0.01212   62.857   31.428
 0.00623  210.331  105.165
 0.01654  111.059   55.529
 0.02078  264.847  132.424
 0.01806  102.512   51.256
 0.01027   98.690   49.345
 0.01903  139.786   69.893
 0.02453  439.870  219.935
 0.01900  115.489   57.744
 0.01934  125.748   62.874
 0.01512  392.005  196.002
 0.01677  184.738   92.369
 0.02368  228.457  114.228
 0.01814  137.979   68.990
 0.01656  585.546  292.773
 0.00961   38.968   19.484
 0.01791  401.861  200.930
 0.00454   82.078   41.039
 0.01588   79.203   39.602
 0.01743  149.170   74.585
 0.01901  306.175  153.087
 0.01515   76.991   38.496
 0.01572   99.674   49.837
 0.01794  527.763  263.881
 0.02413  544.265  272.132
 0.01164  326.337  163.169
 0.01565  148.265   74.132
 0.02417  316.981  158.490
 0.01158   80.924   40.462
 0.01611  140.434   70.217
 0.01951  142.616   71.308
 0.01563   88.946   44.473
 0.01996  192.357   96.179
 0.01769  138.546   69.273
 0.01192  127.200   63.600
 0.01824  210.886  105.443
 0.01889  233.340  116.670
 0.01180  368.739  184.370
 0.01058  131.913   65.956
 0.00355   30.576   15.288
 0.01551  268.329  134.164
 0.02398  500.469  250.235
 0.02418  189.325   94.662
 0.02452  297.968  148.984
 0.01558  581.762  290.881
 0.00038    0.396    0.198
 0.01015   77.493   38.747
 0.00821   91.893   45.946
 0.01547  352.878  176.439
 0.01294  135.765   67.883
 0.01823  207.573  103.786
 0.02403  601.733  300.866
 0.01577  206.468  103.234
 0.00260   35.503   17.752
 0.00384   86.517   43.258
 0.02464  317.007  158.504
 0.02417  176.943   88.471
 0.02407  291.104  145.552
 0.01885  124.001   62.001
 0.01588  380.490  190.245
 0.01559  316.594  158.297
 0.01877  144.916   72.458
 0.01989  449.289  224.645
 0.02440  223.135  111.567
 0.01940  120.218   60.109
 0.01660  325.911  162.956
 0.01961  268.485  134.242
 0.02315  247.629  123.815
 0.01974   16.571    8.285
 0.02497  228.646  114.323
 0.02431  189.263   94.631
 0.01204  155.019   77.509
 0.01914  131.605   65.802
 0.01782  116.615   58.307
 0.01065   74.378   37.189
 0.01614  291.641  145.820
 0.02005  172.618   86.309
 0.01861  331.660  165.830
 0.01708  155.048   77.524
 0.01802  152.684   76.342
 0.02006  217.482  108.741
 0.02148  146.034   73.017
 0.02009  195.128   97.564
 0.02030  242.913  121.457
 0.00942   80.198   40.099
 0.02071  173.586   86.793
 0.02458  280.641  140.321
 0.01609  187.065   93.532
 0.02286  386.203  193.102
 0.02386  426.902  213.451
 0.02260  674.165  337.082
 0.01887  145.301   72.651
 0.01662  122.955   61.477
 0.01986  119.935   59.968
 0.01731  242.149  121.074
 0.02428  227.554  113.777
 0.02359  171.829   85.914
 0.02455  175.301   87.651
 0.02318  194.795   97.397
 0.01647  221.941  110.971
 0.01607  112.853   56.426
 0.02371  164.347   82.173
 0.02116  171.687   85.843
 0.00615   46.367   23.183
 0.01531   83.477   41.739
 0.01257   99.450   49.725
 0.01755  270.920  135.460
 0.01722  198.886   99.443
 0.02441  656.029  328.015
 0.02374  196.997   98.498
 0.01874  303.198  151.599
 0.01364  139.303   69.652
 0.00841  127.223   63.612
 0.01951  129.788   64.894
 0.00844   25.732   12.866
 0.01750  143.157   71.579
 0.00775  345.264  172.632
 0.00782   25.995   12.998
 0.00870   26.063   13.032
 0.01632  495.985  247.992
 0.01833  134.376   67.188
 0.00847  136.881   68.441
 0.02372  728.904  364.452
 0.02496  647.698  323.849
 0.00900  104.297   52.149
 0.01465  369.371  184.686
 0.01179   84.253   42.126
 0.01527  202.825  101.413
 0.01779  101.540   50.770
 0.01906  114.882   57.441
 0.01711  222.480  111.240
 0.02420  268.974  134.487
 0.01866  139.773   69.887
 0.01550  251.714  125.857
 0.00778   56.794   28.397
 0.00725   34.503   17.252
 0.01380   97.385   48.693
 0.01714  144.997   72.498
 0.01972  293.074  146.537
 0.02324  189.021   94.511
 0.01327  161.385   80.693
 0.01948  141.004   70.502
 0.00797   71.010   35.505
 0.01203  587.626  293.813
 0.00765   22.148   11.074
 0.01298   62.451   31.225
 0.01700  132.112   66.056
 0.02383  381.018  190.509
 0.01120   63.665   31.833
 0.02256  287.020  143.510
 0.01250  140.152   70.076
 0.01283  178.801   89.401
 0.00794   35.952   17.976
 0.00318  120.545   60.272
 0.00860   89.865   44.932
 0.01714  185.763   92.881
 0.02025  127.726   63.863
 0.01714  156.823   78.411
 0.02084  233.292  116.646
 0.00720  146.236   73.118
 0.01759  265.381  132.691
 0.01740  161.412   80.706
 0.02172  252.248  126.124
 0.01176  150.166   75.083
 0.01400   67.582   33.791
 0.00391  126.080   63.040
 0.01085  142.458   71.229
 0.01549  154.009   77.005
 0.00930   36.541   18.270
 0.01874  204.711  102.356
 0.01738  272.043  136.021
 0.01392   87.502   43.751
 0.02325  287.042  143.521
 0.01279   87.350   43.675
 0.01255  656.665  328.332
 0.01411  120.733   60.367
 0.01072  119.326   59.663
 0.01136  509.086  254.543
 0.01247  164.611   82.306
 0.01727  158.024   79.012
 0.01835  270.030  135.015
 0.00781   31.346   15.673
 0.00656   42.331   21.165
 0.01252  108.327   54.163
 0.01270  312.317  156.158
 0.00674   62.515   31.258
 0.02055  269.141  134.571
 0.01840  145.941   72.970
 0.00933   69.860   34.930
 0.01299  420.539  210.269
 0.02296  292.209  146.104
 0.02213  223.578  111.789
 0.01611  373.417  186.709
 0.02111  195.111   97.556
 0.02460  182.834   91.417
 0.02312  395.800  197.900
 0.01129  433.993  216.997
 0.01076  147.910   73.955
 0.01288   63.966   31.983
 0.02254  324.233  162.116
 0.01361   65.621   32.810
 0.01076   89.647   44.823
 0.00452    9.570    4.785
 0.00336    3.466    1.733
 0.01881  340.393  170.196
 0.00076    2.492    1.246
 0.00843   58.000   29.000
 0.02280  264.740  132.370
 0.02247  169.215   84.608
 0.02051  144.479   72.239
 0.00795  107.056   53.528
 0.02130  185.775   92.888
 0.01271  239.012  119.506
 0.01269  126.623   63.312
 0.02256  362.003  181.001
 0.02213  147.703   73.852
 0.01093  119.693   59.847
 0.01187  120.126   60.063
 0.00992   28.903   14.452
 0.01020  108.326   54.163
 0.01392  207.230  103.615
 0.01138  300.710  150.355
 0.01908  228.182  114.091
 0.01022   35.538   17.769
 0.02179  147.225   73.613
 0.01879  174.173   87.086
 0.01103  394.077  197.039
 0.01140  103.461   51.731
 0.01323  215.499  107.749
 0.01547  135.456   67.728
 0.01567  139.824   69.912
 0.01791  190.627   95.314
 0.01927  314.160  157.080
 0.01792  165.562   82.781
 0.01131  128.872   64.436
 0.01112  175.675   87.837
 0.02158  137.597   68.799
 0.02156  179.459   89.730
 0.02091  265.132  132.566
 0.01141   45.270   22.635
 0.01834  123.366   61.683
 0.00988   98.742   49.371
 0.01429  168.916   84.458
 0.01568  164.703   82.351
 0.01004  232.731  116.366
 0.01776  115.366   57.683
 0.02190  230.610  115.305
 0.01996  199.944   99.972
 0.01866  256.419  128.210
 0.00963   33.233   16.616
 0.01666  106.606   53.303
 0.02092  298.420  149.210
 0.02175  253.411  126.706
 0.02186  376.191  188.096
 0.01569  148.891   74.445
 0.01996  374.377  187.188
 0.02019  177.473   88.736
 0.01460  420.602  210.301
 0.02031  197.778   98.889
 0.02054  549.327  274.663
 0.01593   81.110   40.555
 0.00224  133.367   66.683
 0.01270   89.976   44.988
 0.01994  193.214   96.607
 0.01695  618.847  309.423
 0.01922  175.481   87.740
